,Inspection_id,DBA_Name,Risk,Address,Zip,Inspection_Date,Results,Latitude,Longitude
0,2268564,PIZZERIA AROMA,Risk 1 (High),5350 N BROADWAY ,60640,2019-02-26T00:00:00,Fail,41.9796508,-87.66010597
1,2268560,PIZZERIA AROMA,Risk 1 (High),5350 N BROADWAY ,60640,2019-02-26T00:00:00,Fail,41.9796508,-87.66010597
2,2268527,CAFECITO,Risk 1 (High),401-403 W FULLERTON PKWY ,60614,2019-02-26T00:00:00,Pass w/ Conditions,41.92550054,-87.6391788
3,2268526,JOHNSON'S REAL ICE CREAM,Risk 2 (Medium),2951 N BROADWAY ,60657,2019-02-26T00:00:00,Pass w/ Conditions,41.9364147,-87.64412799
4,2268524,TONY'S KITCHEN #2 INC.,Risk 1 (High),6325 S CENTRAL AVE ,60638,2019-02-26T00:00:00,Pass w/ Conditions,41.7772013,-87.76154175
5,2268514,EL SABOR POBLANO,Risk 1 (High),7027 N CLARK ST ,60626,2019-02-25T00:00:00,Pass w/ Conditions,42.00985571,-87.67401205
6,2268508,BOOILL GALBI,Risk 1 (High),3346 W BRYN MAWR AVE ,60659,2019-02-25T00:00:00,No Entry,41.98312305,-87.71321223
7,2268506,THE GARAGE BAR AND SANDWICHES,Risk 1 (High),6154 N MILWAUKEE AVE ,60646,2019-02-25T00:00:00,No Entry,41.99354322,-87.78443474
8,2268512,RUKIYO'S,Risk 1 (High),939 N ORLEANS ST ,60610,2019-02-25T00:00:00,Pass,41.90014977,-87.63716135
9,2268505,"HOANH LONG RESTAURANT, INC.",Risk 1 (High),6148-6152 N LINCOLN AVE ,60659,2019-02-25T00:00:00,No Entry,41.99377083,-87.71310538
10,2268510,EL REY DE LA COSTA,Risk 1 (High),3548 W LAWRENCE AVE ,60625,2019-02-25T00:00:00,Fail,41.96846504,-87.7178039
11,2268504,LATIN PATIO,Risk 1 (High),3113-3115 N CENTRAL AVE ,60634,2019-02-25T00:00:00,Pass w/ Conditions,41.93718566,-87.76630216
12,2262183,IYANZE,Risk 1 (High),4623-4627 N BROADWAY ,60640,2019-02-25T00:00:00,Pass w/ Conditions,41.96606299,-87.65773412
13,2268495,GIORDANO'S RESTAURANT,Risk 1 (High),6314 S CICERO AVE ,60638,2019-02-25T00:00:00,Pass,41.77793892,-87.74242376
14,2268487,LITTLE KITCHEN,Risk 1 (High),4104 N SHERIDAN RD ,60613,2019-02-25T00:00:00,Fail,41.95701306,-87.65476211
15,2268477,YVOLINA'S TAMALES+GROCERIES,Risk 1 (High),814 W 18TH ST ,60608,2019-02-25T00:00:00,Pass w/ Conditions,41.85819003,-87.64731369
16,2268481,Mom's Old Recipe Mexican Restaurant,Risk 1 (High),5760 N MILWAUKEE AVE ,60646,2019-02-25T00:00:00,Pass w/ Conditions,41.98614682,-87.77748161
17,2268479,BANGKOK THAI CUISINE,Risk 1 (High),6144 N LINCOLN AVE ,60659,2019-02-25T00:00:00,Pass w/ Conditions,41.99368669,-87.71296649
18,2268469,ROSATI'S PIZZA,Risk 1 (High),3150 W 111TH ST ,60655,2019-02-25T00:00:00,Fail,41.69168161,-87.70043191
19,2268462,BOBTAIL SODA FOUNTAIN,Risk 1 (High),2951 N BROADWAY ,60657,2019-02-25T00:00:00,Out of Business,41.9364147,-87.64412799
20,2268456,DUNKIN  DONUTS,Risk 2 (Medium),7240 W DEVON AVE ,60631,2019-02-25T00:00:00,Out of Business,41.99759826,-87.80825276
21,2268457,BURRITO STATION,Risk 1 (High),2750 W 111TH ST ,60655,2019-02-25T00:00:00,Pass w/ Conditions,41.69180292,-87.69038573
22,2268455,TAQUERIA KAIROS,Risk 1 (High),5526 S ARCHER AVE ,60638,2019-02-25T00:00:00,Pass w/ Conditions,41.79807544,-87.74775274
23,2268452,Churro Factory Inc,Risk 2 (Medium),2214 S Wolcott AVE ,60608,2019-02-25T00:00:00,Pass w/ Conditions,41.85172699,-87.67352527
24,2268442,"Jubilee Coffee, Inc / DBA Dunkin' Donuts",Risk 2 (Medium),7240 W DEVON AVE ,60631,2019-02-25T00:00:00,Pass w/ Conditions,41.99759826,-87.80825276
25,2268441,JOHNSON'S REAL ICE CREAM,Risk 2 (Medium),2951 N BROADWAY ,60657,2019-02-25T00:00:00,Fail,41.9364147,-87.64412799
26,2268434,PACOS TACOS CHICAGO,Risk 1 (High),7059 S HALSTED ST ,60621,2019-02-25T00:00:00,Fail,41.76529571,-87.64426896
27,2268420,POPEYES CHICKEN,Risk 1 (High),156 N WABASH AVE FL 1,60601,2019-02-22T00:00:00,Not Ready,41.88471488,-87.62640013
28,2268426,YOUNG'S RESTAURANT,Risk 1 (High),3949 N ASHLAND AVE ,60613,2019-02-22T00:00:00,Fail,41.95387291,-87.66888934
29,2268414,SUBWAY,Risk 1 (High),2811 S KEDZIE AVE ,60623,2019-02-22T00:00:00,Pass w/ Conditions,41.84053695,-87.70477333
30,2268415,ROAD RANGER #187,Risk 1 (High),3401-3417 S CALIFORNIA AVE ,60608,2019-02-22T00:00:00,Pass w/ Conditions,41.8321338,-87.69472806
31,2268412,CHARCOAL GUACAMOLE INC.,Risk 1 (High),6221 N CLARK ST ,60660,2019-02-22T00:00:00,Pass w/ Conditions,41.99516694,-87.67003398
32,2268401,JERSEY MIKE'S SUBS,Risk 1 (High),200 W MONROE ST ,60606,2019-02-22T00:00:00,Pass,41.88076896,-87.63387497
