Inspection_id,DBA_Name,Risk,Address,Results,Inspection_Date,ratings
2268527,CAFECITO,"Risk 1 (High)","401-403 W FULLERTON PKWY ","Pass w/ Conditions",2019-02-26T00:00:00,4.7
2268510,"EL REY DE LA COSTA","Risk 1 (High)","3548 W LAWRENCE AVE ",Fail,2019-02-25T00:00:00,4.3
2262183,IYANZE,"Risk 1 (High)","4623-4627 N BROADWAY ","Pass w/ Conditions",2019-02-25T00:00:00,3.9
2268495,"GIORDANO'S RESTAURANT","Risk 1 (High)","6314 S CICERO AVE ",Pass,2019-02-25T00:00:00,4.4
2268487,"LITTLE KITCHEN","Risk 1 (High)","4104 N SHERIDAN RD ",Fail,2019-02-25T00:00:00,3.9
2268477,"YVOLINA'S TAMALES+GROCERIES","Risk 1 (High)","814 W 18TH ST ","Pass w/ Conditions",2019-02-25T00:00:00,4.5
2268469,"ROSATI'S PIZZA","Risk 1 (High)","3150 W 111TH ST ",Fail,2019-02-25T00:00:00,3.3
2268456,"DUNKIN  DONUTS","Risk 2 (Medium)","7240 W DEVON AVE ","Out of Business",2019-02-25T00:00:00,4
2268457,"BURRITO STATION","Risk 1 (High)","2750 W 111TH ST ","Pass w/ Conditions",2019-02-25T00:00:00,4
2268452,"Churro Factory Inc","Risk 2 (Medium)","2214 S Wolcott AVE ","Pass w/ Conditions",2019-02-25T00:00:00,4.5
2268434,"PACOS TACOS CHICAGO","Risk 1 (High)","7059 S HALSTED ST ",Fail,2019-02-25T00:00:00,4.5
2268420,"POPEYES CHICKEN","Risk 1 (High)","156 N WABASH AVE FL 1","Not Ready",2019-02-22T00:00:00,3.9
2268426,"YOUNG'S RESTAURANT","Risk 1 (High)","3949 N ASHLAND AVE ",Fail,2019-02-22T00:00:00,4.4
2268414,SUBWAY,"Risk 1 (High)","2811 S KEDZIE AVE ","Pass w/ Conditions",2019-02-22T00:00:00,3.2
2268401,"JERSEY MIKE'S SUBS","Risk 1 (High)","200 W MONROE ST ",Pass,2019-02-22T00:00:00,4.2
2268396,"T JOELS FAMILY RESTAURANT","Risk 1 (High)","1928 W CERMAK RD ","Pass w/ Conditions",2019-02-22T00:00:00,4.7
2268387,"MCCORMICK PLACE - SOUTH BUILDING - SAVOR","Risk 1 (High)","2300 S LAKE SHORE DR ","Pass w/ Conditions",2019-02-22T00:00:00,5
2268386,SUBWAY,"Risk 1 (High)","51 W 79TH ST ",Pass,2019-02-22T00:00:00,3.2
2268381,"LITO'S EMPANADAS","Risk 2 (Medium)","100 W RANDOLPH ST ","Pass w/ Conditions",2019-02-22T00:00:00,4.6
2268382,"CAFE BONHOMME / BEATNIX BY THE RIVER","Risk 1 (High)","180 N WACKER DR ","Pass w/ Conditions",2019-02-22T00:00:00,4.5
2268378,"CHICAGO WINGS & GYROS","Risk 1 (High)","2145 S PULASKI RD ","Pass w/ Conditions",2019-02-22T00:00:00,3.9
2268380,"CAFE BONHOMME / BEATNIX BY THE RIVER","Risk 1 (High)","180 N WACKER DR ","Pass w/ Conditions",2019-02-22T00:00:00,4.5
2268376,"S & G GRILL","Risk 1 (High)","3000 N LINCOLN AVE ","Pass w/ Conditions",2019-02-22T00:00:00,4.4
2268363,"LOS OLIVO'S","Risk 1 (High)","3400 W 31ST ST ","Pass w/ Conditions",2019-02-22T00:00:00,4.6
2268361,Subway,"Risk 1 (High)","3675 W Grand AVE ","Pass w/ Conditions",2019-02-21T00:00:00,3.2
2268359,"MIN MIN CAFE","Risk 1 (High)","1465 W IRVING PARK RD ",Fail,2019-02-21T00:00:00,4.3
2268355,"KAM FUNG RESTAURANT","Risk 1 (High)","216 W 22ND PL ",Pass,2019-02-21T00:00:00,3.9
2268356,"PIZZA NOVA EXPRESS","Risk 1 (High)","3836 W 79TH ST ",Pass,2019-02-21T00:00:00,3.7
2268346,"Chipotle Mexican Grill","Risk 1 (High)","2640 N NARRAGANSETT AVE ",Pass,2019-02-21T00:00:00,4.2
2268343,"JERSEY MIKE'S SUBS","Risk 1 (High)","200 W MONROE ST ",Fail,2019-02-21T00:00:00,4.2
2268344,WingStop,"Risk 1 (High)","2344 W CERMAK RD ","Pass w/ Conditions",2019-02-21T00:00:00,3.3
2268351,"MR V'S CARRYOUT","Risk 1 (High)","5285 N ELSTON AVE ","Pass w/ Conditions",2019-02-21T00:00:00,4.5
2268341,"EL MICHOACANITO","Risk 1 (High)","4311-4315 N KEDZIE AVE ","Pass w/ Conditions",2019-02-21T00:00:00,4.5
2268336,"SABOR A CAFE RESTAURANT","Risk 1 (High)","2435 W PETERSON AVE ",Fail,2019-02-21T00:00:00,3.9
2268327,MAKOTO,"Risk 1 (High)","5854-5856 N LINCOLN AVE ",Fail,2019-02-21T00:00:00,4.7
2268326,"CAPT'N NEMO","Risk 1 (High)","7367 N CLARK ST ","Pass w/ Conditions",2019-02-21T00:00:00,4.5
2268317,JEONG,"Risk 3 (Low)","1460 W CHICAGO AVE ","Pass w/ Conditions",2019-02-21T00:00:00,5
2268319,"CAFE BONHOMME / BEATNIX BY THE RIVER","Risk 1 (High)","180 N WACKER DR ",Fail,2019-02-21T00:00:00,4.5
2268308,"MR. POLLO","Risk 1 (High)","5222 W DIVERSEY AVE ","Pass w/ Conditions",2019-02-21T00:00:00,4.6
2268307,"ROJO GUSANO","Risk 1 (High)","3830 W LAWRENCE AVE ","No Entry",2019-02-21T00:00:00,4.4
2268313,JEONG,"Risk 1 (High)","1460 W CHICAGO AVE ","Pass w/ Conditions",2019-02-21T00:00:00,5
2268321,"EL TACO AZTECA","Risk 1 (High)","2151 W CERMAK RD ","Pass w/ Conditions",2019-02-21T00:00:00,4.4
2268314,"THE GOLDEN VILLAGE","Risk 1 (High)","3619 W NORTH AVE ",Fail,2019-02-21T00:00:00,4.8
2268310,"CAFE BONHOMME / BEATNIX BY THE RIVER","Risk 1 (High)","180 N WACKER DR ",Fail,2019-02-21T00:00:00,4.5
2268293,"POPEYE'S #831","Risk 1 (High)","1959 W HOWARD ST ","Pass w/ Conditions",2019-02-21T00:00:00,3.4
2268290,"DUNKIN DONUTS","Risk 2 (Medium)","6332 N BROADWAY ",Pass,2019-02-21T00:00:00,4
2268281,"EL SAZON RESTAURANT","Risk 1 (High)","2128 W CERMAK RD ","Out of Business",2019-02-21T00:00:00,4.8
2268292,"ELLY'S PANCAKE HOUSE","Risk 1 (High)","5308-5312 N MILWAUKEE AVE ",Fail,2019-02-21T00:00:00,4.5
2268280,"RESTAURANT MIRO'SS INC.","Risk 1 (High)","2128 W CERMAK RD ","Out of Business",2019-02-21T00:00:00,3.9
2268279,"GUS'S WORLD FAMOUS FRIED CHICKEN","Risk 3 (Low)","401 N STATE ST ",Pass,2019-02-21T00:00:00,4.5
2268273,"PIZZA HUT # 35190","Risk 1 (High)","2516 W NORTH AVE ","Not Ready",2019-02-21T00:00:00,2.8
2268276,"GUS'S WORLD FAMOUS FRIED CHICKEN","Risk 2 (Medium)","401 N STATE ST ",Pass,2019-02-21T00:00:00,4.5
