Inspection_ID,Rest_name,Latitude,Longitude,Ratings
2268527,CAFECITO,41.8981921,-87.6212748,4.7
2268510,EL REY DE LA COSTA,41.8793216,-87.668978,4.3
2262183,IYANZE,41.9661908,-87.6575728,3.9
2268495,GIORDANO'S RESTAURANT,41.8851301,-87.6237612,4.4
2268487,LITTLE KITCHEN,41.9567073,-87.6552932,3.9
2268477,YVOLINA'S TAMALES+GROCERIES,41.8582372,-87.6473003,4.5
2268469,ROSATI'S PIZZA,41.864247,-87.646698,3.3
2268456,DUNKIN  DONUTS,41.8861537,-87.6315009,4
2268457,BURRITO STATION,41.7992576,-87.5919425,4
2268452,Churro Factory Inc,41.847405,-87.6852447,4.5
2268434,PACOS TACOS CHICAGO,41.8150512,-87.7021837,4.5
2268420,POPEYES CHICKEN,41.8657151,-87.646644,3.9
2268426,YOUNG'S RESTAURANT,41.953879,-87.6686892,4.4
2268414,SUBWAY,41.8855837,-87.6289723,3.2
2268401,JERSEY MIKE'S SUBS,41.881173,-87.63407,4.2
2268396,T JOELS FAMILY RESTAURANT,41.8693407,-87.6550994,4.7
2268387,MCCORMICK PLACE - SOUTH BUILDING - SAVOR,41.8526229,-87.6119577,5
2268386,SUBWAY,41.8855837,-87.6289723,3.2
2268381,LITO'S EMPANADAS,41.929401,-87.642941,4.6
2268382,CAFE BONHOMME / BEATNIX BY THE RIVER,41.891477,-87.6308169,4.5
2268378,CHICAGO WINGS & GYROS,41.8713611,-87.686359,3.9
2268380,CAFE BONHOMME / BEATNIX BY THE RIVER,41.891477,-87.6308169,4.5
2268376,S & G GRILL,41.936256,-87.664131,4.4
2268363,LOS OLIVO'S,41.8372691,-87.7100626,4.6
2268361,Subway,41.8855837,-87.6289723,3.2
2268359,MIN MIN CAFE,41.954213,-87.666694,4.3
2268355,KAM FUNG RESTAURANT,41.8523604,-87.6327204,3.9
2268356,PIZZA NOVA EXPRESS,41.816464,-87.640701,3.7
2268346,Chipotle Mexican Grill,41.8872877,-87.6248481,4.2
2268343,JERSEY MIKE'S SUBS,41.881173,-87.63407,4.2
